,reference_tables,predicted_tables
909,"restaurant, location","location, restaurant"
910,"restaurant, geographic, location","location, restaurant, geographic"
911,"restaurant, location","location, restaurant"
912,"restaurant, geographic","restaurant, geographic"
913,"restaurant, location","location, restaurant"
914,"restaurant, location","location, restaurant"
915,"restaurant, location","location, restaurant"
916,"restaurant, geographic, location","location, restaurant, geographic"
917,"location, restaurant, geographic","location, restaurant, geographic"
918,"location, restaurant, geographic","location, restaurant, geographic"
919,"restaurant, location","location, restaurant"
920,"restaurant, location","location, restaurant"
921,"restaurant, location","location, restaurant"
922,"restaurant, location","location, restaurant"
923,"restaurant, location","location, restaurant"
924,"restaurant, geographic","restaurant, geographic"
925,"restaurant, location","location, restaurant"
926,"restaurant, geographic, location","location, restaurant, geographic"
927,"restaurant, location","location, restaurant"
928,"restaurant, location","location, restaurant"
929,"restaurant, geographic, location","location, restaurant, geographic"
930,"restaurant, geographic, location","location, restaurant, geographic"
931,"restaurant, location","location, restaurant"
932,"restaurant, geographic, location","location, restaurant, geographic"
933,"restaurant, geographic, location","location, restaurant, geographic"
934,"restaurant, geographic, location","location, restaurant, geographic"
935,"restaurant, location","location, restaurant"
936,"location, restaurant, geographic","location, restaurant, geographic"
937,"restaurant, location","location, restaurant"
938,"restaurant, location","location, restaurant"
939,"restaurant, geographic, location","location, restaurant, geographic"
940,"restaurant, location","location, restaurant"
941,"restaurant, geographic, location","location, restaurant, geographic"
942,"restaurant, location","location, restaurant"
943,"location, restaurant, geographic","location, restaurant, geographic"
944,"restaurant, location","location, restaurant"
945,"restaurant, location","location, restaurant"
946,"restaurant, location","location, restaurant"
947,"restaurant, geographic","restaurant, geographic"
948,"restaurant, location","location, restaurant"
949,"restaurant, location","location, restaurant"
950,"restaurant, location","location, restaurant"
951,"restaurant, location","location, restaurant"
952,"restaurant, location","location, restaurant"
953,"restaurant, geographic, location","location, restaurant, geographic"
954,"restaurant, location","location, restaurant"
955,"restaurant, location","location, restaurant"
956,"restaurant, location","location, restaurant"
957,"restaurant, location","location, restaurant"
958,"restaurant, location","location, restaurant"
959,"restaurant, location","location, restaurant"
960,"restaurant, geographic, location","location, restaurant, geographic"
961,"restaurant, location","location, restaurant"
962,"restaurant, location","location, restaurant"
963,"restaurant, location","location, restaurant"
964,"restaurant, location","location, restaurant"
965,"restaurant, geographic, location","location, restaurant, geographic"
966,"restaurant, geographic, location","location, restaurant, geographic"
967,"location, restaurant, geographic","location, restaurant, geographic"
968,"restaurant, location","location, restaurant"
969,"restaurant, location","location, restaurant"
970,"location, restaurant, geographic","location, restaurant, geographic"
971,"restaurant, location","location, restaurant"
972,"restaurant, location","location, restaurant"
973,"restaurant, geographic, location","location, restaurant, geographic"
974,"restaurant, location","location, restaurant"
975,"restaurant, location","location, restaurant"
976,"restaurant, location","location, restaurant"
977,"restaurant, location","location, restaurant"
978,"restaurant, location","location, restaurant"
979,"restaurant, location","location, restaurant"
980,"location, restaurant, geographic","location, restaurant, geographic"
981,"restaurant, location","location, restaurant"
982,"restaurant, location","location, restaurant"
983,"restaurant, location","location, restaurant"
984,"restaurant, geographic","restaurant, geographic"
985,"restaurant, location","location, restaurant"
986,"restaurant, geographic","restaurant, geographic"
987,"restaurant, geographic, location","location, restaurant, geographic"
988,"restaurant, location","location, restaurant"
989,"restaurant, location","location, restaurant"
990,"restaurant, geographic, location","location, restaurant, geographic"
991,"restaurant, geographic","restaurant, geographic"
992,"restaurant, location","location, restaurant"
993,"restaurant, location","location, restaurant"
994,"restaurant, geographic, location","location, restaurant, geographic"
995,"restaurant, location","location, restaurant"
996,"restaurant, location","location, restaurant"
997,"restaurant, location","location, restaurant"
998,"restaurant, location","location, restaurant"
999,"restaurant, location","location, restaurant"
1000,"restaurant, location","location, restaurant"
1001,"restaurant, location","location, restaurant"
1002,"restaurant, geographic, location","location, restaurant, geographic"
1003,"restaurant, geographic","restaurant, geographic"
1004,"restaurant, location","location, restaurant"
1005,"restaurant, geographic, location","location, restaurant, geographic"
1006,"restaurant, location","location, restaurant"
1007,"restaurant, location","location, restaurant"
1008,"restaurant, location","location, restaurant"
1009,"restaurant, location","location, restaurant"
1010,"restaurant, location","location, restaurant"
1011,"restaurant, location","location, restaurant"
1012,"restaurant, geographic, location","location, restaurant, geographic"
1013,"restaurant, location","location, restaurant"
1014,"restaurant, location","location, restaurant"
1015,"restaurant, location","location, restaurant"
1016,"restaurant, location","location, restaurant"
1017,"restaurant, location","location, restaurant"
1018,"restaurant, location","location, restaurant"
1019,"user_profiles, follows","follows, user_profiles"
1020,tweets,tweets
1021,user_profiles,user_profiles
1022,"user_profiles, tweets","user_profiles, tweets"
1023,"user_profiles, follows","follows, user_profiles"
1024,tweets,tweets
1025,user_profiles,user_profiles
1026,"user_profiles, tweets","user_profiles, tweets"
1027,user_profiles,user
1028,user_profiles,user_profiles
1029,user_profiles,user_profiles
1030,"user_profiles, tweets","user_profiles, tweets"
1031,follows,"follows, user_profiles"
1032,"user_profiles, tweets","user_profiles, tweets"
1033,user_profiles,user_profiles
1034,user_profiles,user_profiles
1035,"user_profiles, tweets","user_profiles, tweets"
1036,tweets,tweets
1037,tweets,tweets
1038,"user_profiles, tweets","user_profiles, tweets"
1039,user_profiles,user_profiles
1040,"user_profiles, follows","follows, user_profiles"
1041,follows,"follows, user_profiles"
1042,"user_profiles, follows","follows, user_profiles"
1043,user_profiles,user_profiles
1044,weather,weather
1045,station,station
1046,weather,weather
1047,"trip, station","station, trip"
1048,weather,weather
1049,weather,weather
1050,weather,weather
1051,station,station
1052,trip,trip
1053,station,station
1054,"station, trip","station, trip"
1055,trip,trip
1056,trip,trip
1057,weather,weather
1058,"station, status","station, status"
1059,station,station
1060,station,station
1061,"station, status","station, status"
1062,trip,trip
1063,"station, trip","station, trip"
1064,weather,weather
1065,"station, trip","station, trip"
1066,"station, trip","station, trip"
1067,"weather, trip","weather, trip"
1068,"station, status","station, status"
1069,station,station
1070,"station, status","station, status"
1071,weather,weather
1072,station,station
1073,"station, status","station, status"
1074,"station, trip","station, trip"
1075,weather,weather
1076,"station, status","station, status"
1077,trip,trip
1078,"trip, station","station, trip"
1079,weather,weather
1080,trip,trip
1081,trip,trip
1082,weather,weather
1083,station,station
1084,"trip, station","station, trip"
1085,station,station
1086,weather,weather
1087,"trip, weather","weather, trip"
1088,weather,weather
1089,weather,weather
1090,trip,trip
1091,"station, status","station, status"
1092,trip,trip
1093,weather,weather
1094,weather,weather
1095,trip,trip
1096,"station, status","station, status"
1097,trip,trip
1098,trip,trip
1099,station,station
1100,trip,"station, trip"
1101,"status, station","station, status"
1102,"station, trip","station, trip"
1103,weather,weather
1104,"station, status","station, status"
1105,"trip, station","station, trip"
1106,trip,"station, trip"
1107,weather,weather
1108,weather,weather
1109,station,station
1110,weather,weather
1111,weather,weather
1112,"station, status","station, status"
1113,weather,weather
1114,station,station
1115,"station, status","station, status"
1116,station,station
1117,"trip, station","station, trip"
1118,weather,weather
1119,"station, trip","station, trip"
1120,"trip, station","station, trip"
1121,trip,trip
1122,weather,weather
1123,station,station
1124,weather,weather
1125,weather,weather
1126,"station, status","station, status"
1127,"station, trip","station, trip"
1128,weather,weather
1129,"status, station","station, status"
1130,"station, trip","station, trip"
1131,"station, trip","station, trip"
1132,"station, status","station, status"
1133,weather,weather
1134,"station, trip","station, trip"
1135,trip,trip
1136,"station, trip","station, trip"
1137,station,business
1138,degrees,"degrees, campuses"
1139,campuses,campuses
1140,"campuses, faculty, degrees","faculty, degrees, campuses"
1141,"discipline_enrollments, campuses","discipline_enrollments, campuses"
1142,"campuses, faculty","faculty, campuses"
1143,degrees,"degrees, campuses"
1144,"campuses, degrees",degrees
1145,"campuses, faculty","faculty, campuses"
1146,"campuses, csu_fees","csu_fees, campuses"
1147,campuses,campuses
1148,campuses,campuses
1149,faculty,faculty
1150,campuses,campuses
1151,csu_fees,csu_fees
1152,"campuses, faculty","faculty, campuses"
1153,degrees,degrees
1154,csu_fees,csu_fees
1155,campuses,campuses
1156,"discipline_enrollments, campuses","discipline_enrollments, campuses"
1157,"campuses, degrees","degrees, campuses"
1158,degrees,degrees
1159,csu_fees,csu_fees
1160,"campuses, faculty, degrees","faculty, degrees, campuses"
1161,"csu_fees, campuses","csu_fees, campuses"
1162,"campuses, degrees","degrees, campuses"
1163,"faculty, campuses","faculty, campuses"
1164,"campuses, enrollments","enrollments, campuses"
1165,"campuses, degrees",degrees
1166,campuses,campuses
1167,"campuses, faculty, degrees","faculty, degrees, campuses"
1168,campuses,campuses
1169,"faculty, campuses","campuses, faculty"
1170,campuses,campuses
1171,campuses,campuses
1172,csu_fees,csu_fees
1173,"campuses, csu_fees","csu_fees, campuses"
1174,"faculty, campuses","campuses, faculty"
1175,"csu_fees, campuses","csu_fees, campuses"
1176,"campuses, csu_fees","csu_fees, campuses"
1177,campuses,campuses
1178,campuses,campuses
1179,"campuses, faculty, degrees","faculty, degrees, campuses"
1180,campuses,campuses
1181,csu_fees,csu_fees
1182,"campuses, csu_fees","csu_fees, campuses"
1183,"campuses, faculty","faculty, campuses"
1184,"discipline_enrollments, campuses","discipline_enrollments, campuses"
1185,csu_fees,csu_fees
1186,"csu_fees, campuses","csu_fees, campuses"
1187,"campuses, degrees","degrees, campuses"
1188,"campuses, enrollments","enrollments, campuses"
1189,campuses,campuses
1190,"campuses, faculty","faculty, campuses"
1191,csu_fees,csu_fees
1192,"csu_fees, campuses","csu_fees, campuses"
1193,"campuses, degrees","degrees, campuses"
1194,"campuses, degrees","degrees, campuses"
1195,campuses,campuses
1196,csu_fees,csu_fees
1197,faculty,faculty
1198,"discipline_enrollments, campuses","discipline_enrollments, campuses"
1199,"campuses, faculty","faculty, campuses"
1200,campuses,campuses
1201,"news_report, event, journalist","event, journalist, news_report"
1202,"news_report, event, journalist","event, journalist, news_report"
1203,journalist,journalist
1204,journalist,journalist
1205,journalist,journalist
1206,"journalist, news_report","journalist, news_report"
1207,event,event
1208,"news_report, event, journalist","event, journalist, news_report"
1209,event,event
1210,"news_report, event, journalist","event, journalist, news_report"
1211,"journalist, news_report","journalist, news_report"
1212,journalist,journalist
1213,journalist,journalist
1214,journalist,journalist
1215,journalist,journalist
1216,event,event
1217,journalist,journalist
1218,"authors, authorship, papers","authors, papers, authorship"
1219,"authors, authorship, inst","authors, inst, authorship"
1220,"authors, authorship, inst","authors, inst, authorship"
1221,"authors, authorship, papers, inst","authors, inst, papers, authorship"
1222,"authors, authorship, papers","authors, papers, authorship"
1223,papers,papers
1224,"authors, authorship, papers","authors, papers, authorship"
1225,authors,authors
1226,inst,inst
1227,papers,papers
1228,papers,papers
1229,"authors, authorship, inst","authors, inst, authorship"
1230,"authors, authorship, papers","authors, papers, authorship"
1231,authors,authors
1232,"papers, authorship, inst","inst, papers, authorship"
1233,"authors, authorship, papers","authors, papers, authorship"
1234,"papers, authorship, inst","inst, papers, authorship"
1235,papers,papers
1236,authors,authors
1237,"authors, authorship, inst","authors, inst, authorship"
1238,"papers, authorship, inst","inst, papers, authorship"
1239,"authors, authorship, papers","authors, papers, authorship"
1240,authors,authors
1241,"authors, authorship, papers","authors, papers, authorship"
1242,authors,authors
1243,"authors, authorship, inst","authors, inst, authorship"
1244,"authors, authorship, papers, inst","authors, inst, papers, authorship"
1245,authors,authors
1246,"authors, authorship, papers","authors, papers, authorship"
1247,"inst, authorship, papers","inst, papers, authorship"
1248,papers,papers
1249,"authors, authorship, papers","authors, papers, authorship"
1250,"authors, authorship, papers","authors, papers, authorship"
1251,"authors, authorship, inst","authors, inst, authorship"
1252,"authors, authorship, papers","authors, papers, authorship"
1253,"authors, authorship, papers","authors, papers, authorship"
1254,authors,authors
1255,"papers, authorship, inst","inst, papers, authorship"
1256,"papers, authorship, inst","inst, papers, authorship"
1257,authors,authors
1258,"authors, authorship, inst","authors, inst, authorship"
1259,authors,authors
1260,"authors, authorship, papers","authors, papers, authorship"
1261,authors,authors
1262,"authorship, papers","papers, authorship"
1263,"authors, authorship, inst","authors, inst, authorship"
1264,"authors, authorship, papers","authors, papers, authorship"
1265,authors,authors
1266,"authors, authorship, papers","authors, papers, authorship"
1267,"authors, authorship, papers","authors, papers, authorship"
1268,inst,inst
1269,"inst, authorship, papers","inst, papers, authorship"
1270,"authors, authorship, papers","authors, papers, authorship"
1271,"authors, authorship, papers, inst","authors, inst, papers, authorship"
1272,"papers, authorship, inst","inst, papers, authorship"
1273,"papers, authorship, inst","inst, papers, authorship"
1274,"authors, authorship, papers, inst","authors, inst, papers, authorship"
1275,authors,authors
1276,papers,papers
1277,"authorship, papers","papers, authorship"
1278,furniture,furniture
1279,manufacturer,manufacturer
1280,manufacturer,manufacturer
1281,"furniture, furniture_manufacte, manufacturer","furniture, furniture_manufacte, manufacturer"
1282,"manufacturer, furniture_manufacte","manufacturer, furniture_manufacte"
1283,"furniture, furniture_manufacte","furniture, furniture_manufacte"
1284,manufacturer,manufacturer
1285,"furniture, furniture_manufacte","furniture, furniture_manufacte"
1286,"furniture, furniture_manufacte","furniture, furniture_manufacte"
1287,manufacturer,manufacturer
1288,furniture,furniture
1289,"manufacturer, furniture_manufacte","manufacturer, furniture_manufacte"
1290,manufacturer,manufacturer
1291,furniture,furniture
1292,furniture,furniture
1293,"person, personFriend","personFriend, person"
1294,personfriend,personfriend
1295,person,person
1296,"person, personFriend","personFriend, person"
1297,"person, personFriend",personfriend
1298,person,person
1299,"person, personFriend","personFriend, person"
1300,person,person
1301,"person, personFriend","personFriend, person"
1302,person,person
1303,person,person
1304,personfriend,personfriend
1305,"person, personFriend","personFriend, person"
1306,"person, personFriend","personFriend, person"
1307,person,person
1308,person,person
1309,person,person
1310,"person, personFriend","personFriend, person"
1311,"person, personFriend","personFriend, person"
1312,"personfriend, person","personFriend, person"
1313,"person, personFriend","personFriend, person"
1314,"person, personFriend","personFriend, person"
1315,person,person
1316,person,person
1317,person,person
1318,person,person
1319,"person, personFriend","personFriend, person"
1320,"person, personFriend","personFriend, person"
1321,"person, personFriend","personFriend, person"
1322,"person, personFriend","personFriend, person"
1323,"person, personFriend","personFriend, person"
1324,person,person
1325,personfriend,"personFriend, person"
1326,person,person
1327,person,person
1328,person,person
1329,"person, personFriend","personFriend, person"
1330,"person, personFriend","personFriend, person"
1331,personfriend,personfriend
1332,person,person
1333,"person, personFriend","personFriend, person"
1334,"person, personFriend","personFriend, person"
1335,"person, personFriend","personFriend, person"
1336,"person, personFriend","personFriend, person"
1337,person,person
1338,person,person
1339,person,person
1340,person,person
1341,"person, personFriend","personFriend, person"
1342,"person, personFriend","personFriend, person"
1343,person,person
1344,"personfriend, person","personFriend, person"
1345,"person, personFriend","personFriend, person"
1346,person,person
1347,person,person
1348,"person, personfriend","personFriend, person"
1349,"person, personFriend","personFriend, person"
1350,person,person
1351,"person, personFriend","personFriend, person"
1352,person,person
1353,person,person
1354,person,person
1355,person,person
1356,person,person
1357,person,person
1358,person,person
1359,person,person
1360,"person, personFriend","personFriend, person"
1361,"person, personFriend","personFriend, person"
1362,"personfriend, person","personFriend, person"
1363,person,person
1364,"person, personFriend","personFriend, person"
1365,"person, personFriend","personFriend, person"
1366,personfriend,personfriend
1367,person,person
1368,person,person
1369,"person, personFriend","personFriend, person"
1370,personfriend,personfriend
1371,"enzyme, medicine_enzyme_interaction","medicine_enzyme_interaction, enzyme"
1372,"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
1373,"enzyme, medicine_enzyme_interaction","medicine_enzyme_interaction, enzyme"
1374,"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
1375,"medicine, medicine_enzyme_interaction, enzyme","medicine_enzyme_interaction, enzyme, medicine"
1376,"enzyme, medicine_enzyme_interaction","medicine_enzyme_interaction, enzyme"
1377,medicine,medicine
1378,enzyme,enzyme
1379,"medicine_enzyme_interaction, medicine, enzyme","medicine_enzyme_interaction, enzyme, medicine"
1380,medicine,medicine
1381,enzyme,enzyme
1382,medicine,medicine
1383,enzyme,enzyme
1384,"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
1385,medicine_enzyme_interaction,medicine_enzyme_interaction
1386,"medicine, medicine_enzyme_interaction, enzyme","medicine_enzyme_interaction, enzyme, medicine"
1387,enzyme,enzyme
1388,medicine,medicine
1389,"enzyme, medicine_enzyme_interaction","medicine_enzyme_interaction, enzyme"
1390,"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
1391,"enzyme, medicine_enzyme_interaction, medicine","medicine_enzyme_interaction, enzyme, medicine"
1392,medicine,medicine
1393,"enzyme, medicine_enzyme_interaction, medicine","medicine_enzyme_interaction, enzyme, medicine"
1394,medicine_enzyme_interaction,medicine_enzyme_interaction
1395,"enzyme, medicine_enzyme_interaction","medicine_enzyme_interaction, enzyme"
1396,"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
1397,enzyme,enzyme
1398,enzyme,enzyme
1399,"medicine_enzyme_interaction, medicine, enzyme","medicine_enzyme_interaction, enzyme, medicine"
1400,medicine,medicine
1401,enzyme,enzyme
1402,"enzyme, medicine_enzyme_interaction","medicine_enzyme_interaction, enzyme"
1403,"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
1404,enzyme,enzyme
1405,"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
1406,enzyme,enzyme
1407,enzyme,enzyme
1408,medicine,medicine
1409,enzyme,enzyme
1410,medicine,medicine
1411,"apartment_bookings, apartments","apartment_bookings, apartments"
1412,"apartment_bookings, guests","guests, apartment_bookings"
1413,apartments,apartments
1414,guests,guests
1415,apartment_buildings,apartment_buildings
1416,"apartment_facilities, apartments","apartment_facilities, apartments"
1417,"apartments, apartment_facilities","apartment_facilities, apartments"
1418,apartment_buildings,apartment_buildings
1419,apartments,apartments
1420,"apartment_buildings, apartments","apartment_buildings, apartments"
1421,apartments,apartments
1422,"apartment_buildings, apartments","apartment_buildings, apartments"
1423,apartments,apartments
1424,"apartments, view_unit_status","view_unit_status, apartments"
1425,apartments,apartments
1426,apartment_bookings,apartment_bookings
1427,apartments,apartments
1428,apartments,apartments
1429,apartment_bookings,apartment_bookings
1430,apartments,apartments
1431,apartments,apartments
1432,apartment_buildings,apartment_buildings
1433,apartments,apartments
1434,"apartment_bookings, guests","guests, apartment_bookings"
1435,"apartment_bookings, guests","guests, apartment_bookings"
1436,"apartment_buildings, apartments","apartment_buildings, apartments"
1437,"apartment_bookings, apartments","apartment_bookings, apartments"
1438,apartments,apartments
1439,apartments,apartments
1440,"apartment_facilities, apartments","apartment_facilities, apartments"
1441,"apartment_bookings, guests","guests, apartment_bookings"
1442,guests,guests
1443,apartments,apartments
1444,apartment_buildings,apartment_buildings
1445,guests,guests
1446,apartments,apartments
1447,apartments,apartments
1448,guests,guests
1449,"apartment_bookings, apartments","apartment_bookings, apartments"
1450,"apartment_bookings, apartments","apartment_bookings, apartments"
1451,apartments,apartments
1452,"apartment_bookings, apartments","apartment_bookings, apartments"
1453,"apartment_bookings, apartments","apartment_bookings, apartments"
1454,apartment_bookings,apartment_bookings
1455,apartments,apartments
1456,apartment_buildings,apartment_buildings
1457,"apartment_bookings, apartments","apartment_bookings, apartments"
1458,apartments,apartments
1459,"apartment_buildings, apartments","apartment_buildings, apartments"
1460,"apartments, view_unit_status","view_unit_status, apartments"
1461,apartment_bookings,apartment_bookings
1462,apartment_bookings,apartment_bookings
1463,"apartment_bookings, apartments","apartment_bookings, apartments"
1464,guests,guests
1465,apartment_bookings,apartment_bookings
1466,"apartment_bookings, apartments","apartment_bookings, apartments"
1467,apartments,apartments
1468,guests,guests
1469,apartments,apartments
1470,"apartment_bookings, apartments","apartment_bookings, apartments"
1471,"apartment_bookings, apartments","apartment_bookings, apartments"
1472,"apartment_buildings, apartments","apartment_buildings, apartments"
1473,"apartment_bookings, apartments","apartment_bookings, apartments"
1474,apartments,apartments
1475,"apartment_bookings, apartments","apartment_bookings, apartments"
1476,apartment_buildings,apartment_buildings
1477,"apartments, apartment_facilities","apartment_facilities, apartments"
1478,apartment_buildings,apartment_buildings
1479,apartments,apartments
1480,"apartment_facilities, apartments","apartment_facilities, apartments"
1481,apartments,apartments
1482,apartments,apartments
1483,channel,channel
1484,program,program
1485,channel,channel
1486,program,program
1487,channel,channel
1488,broadcast,broadcast
1489,program,program
1490,"channel, broadcast","channel, broadcast"
1491,"program, broadcast","program, broadcast"
1492,channel,channel
1493,channel,channel
1494,program,program
1495,channel,channel
1496,"program, broadcast","program, broadcast"
1497,"program, broadcast","program, broadcast"
1498,"program, broadcast","program, broadcast"
1499,program,program
1500,channel,channel
1501,channel,channel
1502,"channel, broadcast","channel, broadcast"
1503,program,program
1504,broadcast,broadcast
1505,program,program
1506,broadcast,broadcast
1507,"channel, broadcast","channel, broadcast"
1508,program,program
1509,program,program
1510,channel,channel
1511,broadcast,broadcast
1512,program,program
1513,program,program
1514,channel,channel
1515,channel,channel
1516,channel,channel
1517,"program, broadcast","program, broadcast"
1518,"channel, broadcast","channel, broadcast"
1519,"rent_arrears, cmi_cross_references, customer_master_index","customer_master_index, rent_arrears, cmi_cross_references"
1520,"cmi_cross_references, benefits_overpayments","benefits_overpayments, cmi_cross_references"
1521,"cmi_cross_references, parking_fines","parking_fines, cmi_cross_references"
1522,"cmi_cross_references, council_tax","council_tax, cmi_cross_references"
1523,rent_arrears,rent_arrears
1524,"electoral_register, cmi_cross_references","electoral_register, cmi_cross_references"
1525,parking_fines,parking_fines
1526,"customer_master_index, cmi_cross_references","customer_master_index, cmi_cross_references"
1527,"business_rates, cmi_cross_references","business_rates, cmi_cross_references"
1528,cmi_cross_references,cmi_cross_references
1529,cmi_cross_references,cmi_cross_references
1530,"customer_master_index, cmi_cross_references","customer_master_index, cmi_cross_references"
1531,"cmi_cross_references, parking_fines","parking_fines, cmi_cross_references"
1532,product,products
1533,store,store
1534,"store, store_district, district","district, store, store_district"
1535,"store, store_district, district","district, store, store_district"
1536,product,product
1537,"store, store_district, district","district, store, store_district"
1538,product,product
1539,"store, store_district, district","district, store, store_district"
1540,district,district
1541,product,product
1542,district,district
1543,district,district
1544,product,product
1545,product,products
1546,"store, store_district, district","district, store, store_district"
1547,district,district
1548,"store, store_district, district","district, store, store_district"
1549,"store, store_district, district","district, store, store_district"
1550,product,product
1551,district,district
1552,"store, store_district, district","district, store, store_district"
1553,"product, store_product, store","store, store_product, product"
1554,product,product
1555,product,product
1556,"product, store_product, store","store, store_product, product"
1557,"store, store_district, district","district, store, store_district"
1558,district,district
1559,product,product
1560,product,product
1561,"store, store_district, district","district, store, store_district"
1562,district,district
1563,district,district
1564,district,district
1565,store,store
1566,"store, store_district, district","district, store, store_district"
1567,district,district
1568,product,product
1569,product,product
1570,"store, store_district, district","district, store, store_district"
1571,product,product
1572,gas_station,gas_station
1573,company,company
1574,"station_company, company","station_company, company"
1575,gas_station,gas_station
1576,company,companies
1577,company,companies
1578,company,company
1579,company,companies
1580,company,companies
1581,company,companies
1582,company,companies
1583,company,companies
1584,company,companies
1585,"station_company, company, gas_station","gas_station, station_company, company"
1586,gas_station,gas_station
1587,gas_station,gas_station
1588,gas_station,gas_station
1589,company,company
1590,company,company
1591,company,companies
1592,company,companies
1593,company,company
1594,company,None
1595,company,company
1596,company,company
1597,company,companies
1598,company,companies
1599,"company, station_company","station_company, company"
1600,gas_station,gas_station
1601,company,company
1602,"company, station_company","station_company, company"
1603,gas_station,gas_station
1604,"station_company, company, gas_station","gas_station, station_company, company"
1605,gas_station,gas_station
1606,company,company
1607,gas_station,gas_station
1608,"station_company, company, gas_station","gas_station, station_company, company"
1609,company,company
1610,"station_company, company, gas_station","gas_station, station_company, company"
1611,"station_company, company, gas_station","gas_station, station_company, company"
1612,"station_company, company","station_company, company"
1613,company,companies
1614,festival_detail,festival_detail
1615,festival_detail,festival_detail
1616,artwork,artwork
1617,"nomination, artwork, festival_detail","nomination, festival_detail, artwork"
1618,artwork,artwork
1619,festival_detail,festival_detail
1620,"nomination, artwork, festival_detail","nomination, festival_detail, artwork"
1621,festival_detail,festival_detail
1622,festival_detail,festival_detail
1623,"nomination, artwork, festival_detail","nomination, festival_detail, artwork"
1624,artwork,artwork
1625,festival_detail,festival_detail
1626,"nomination, artwork, festival_detail","nomination, festival_detail, artwork"
1627,"artwork, nomination","artwork, nomination"
1628,festival_detail,festival_detail
1629,festival_detail,festival_detail
1630,artwork,artwork
1631,"nomination, artwork, festival_detail","nomination, festival_detail, artwork"
1632,"nomination, artwork, festival_detail","nomination, festival_detail, artwork"
1633,artwork,artwork
1634,building,buildings
1635,building,building
1636,"institution, protein, building","institution, protein, building"
1637,"institution, protein","institution, protein"
1638,building,building
1639,institution,institution
1640,building,buildings
1641,building,buildings
1642,"building, institution","institution, building"
1643,"institution, protein","institution, protein"
1644,building,building
1645,institution,institution
1646,"institution, protein","institution, protein"
1647,institution,institution
1648,"building, institution","institution, building"
1649,institution,institution
1650,"institution, protein","institution, protein"
1651,institution,institution
1652,roller_coaster,roller_coaster
1653,roller_coaster,roller_coaster
1654,"country, roller_coaster","roller_coaster, country"
1655,"country, roller_coaster","roller_coaster, country"
1656,roller_coaster,roller_coaster
1657,roller_coaster,roller_coaster
1658,"country, roller_coaster","roller_coaster, country"
1659,"country, roller_coaster","roller_coaster, country"
1660,roller_coaster,roller_coaster
1661,"country, roller_coaster","roller_coaster, country"
1662,roller_coaster,roller_coaster
1663,"country, roller_coaster","roller_coaster, country"
1664,roller_coaster,roller_coaster
1665,country,country
1666,roller_coaster,roller_coaster
1667,roller_coaster,roller_coaster
1668,events,events
1669,"services, events","events, services"
1670,"events, participants_in_events","events, participants_in_events"
1671,"events, participants_in_events","events, participants_in_events"
1672,participants_in_events,participants_in_events
1673,"participants, participants_in_events, events, services","participants, events, participants_in_events, services"
1674,services,services
1675,participants,participants
1676,"participants, participants_in_events","participants, participants_in_events"
1677,participants_in_events,participants_in_events
1678,"events, participants_in_events, participants","participants, events, participants_in_events"
1679,"events, services","events, services"
1680,participants,participants
1681,"participants, participants_in_Events","participants, participants_in_events"
1682,bridge,bridge
1683,"architect, mill","mill, architect"
1684,"bridge, architect","architect, bridge"
1685,"architect, bridge","architect, bridge"
1686,architect,architect
1687,"architect, mill","mill, architect"
1688,mill,mill
1689,"architect, bridge, mill","mill, architect, bridge"
1690,"mill, architect","mill, architect"
1691,mill,mill
1692,"bridge, architect","architect, bridge"
1693,architect,architect
1694,"mill, architect, bridge","mill, architect, bridge"
1695,mill,mill
1696,"architect, mill","mill, architect"
1697,bridge,bridge
1698,railway,railway
1699,railway,railway
1700,manager,manager
1701,"railway, train","railway, train"
1702,manager,manager
1703,train,train
1704,manager,manager
1705,manager,manager
1706,railway,railway
1707,manager,manager
1708,"railway, train","railway, train"
1709,"railway, train","railway, train"
1710,railway,railway
1711,"railway, train","railway, train"
1712,manager,manager
1713,railway,railway
1714,"railway, train","railway, train"
1715,manager,manager
1716,manager,manager
1717,publication,publication
1718,publication,publication
1719,publication,publication
1720,publication,publication
1721,book,book
1722,publication,publication
1723,publication,publication
1724,book,book
1725,publication,publication
1726,"book, publication","publication, book"
1727,book,book
1728,publication,publication
1729,publication,publication
1730,book,book
1731,book,book
1732,publication,publication
1733,"book, publication","publication, book"
1734,"book, publication","publication, book"
1735,publication,publication
